RT,Stimuli,Response,Condition,Correct,Age,L1,ID,Fold,Time_taken,Sex,Language,Verb,Noun,Frequency,Score,Item,Accuracy,outliers,mAccuracy,mRT,iAccuracy,iRT
769,carry a risk,n,Collocation,y,55,English,P004,1,343.0,Female,English,carry,risk,44571,7.5,carry risk,0,,0.9573170731707316,851.3780487804878,0.9166666666666666,1009.25
822,fan one's face,y,Compositional,y,55,English,P004,1,343.0,Female,English,fan,face,681,3.5,fan face,1,,0.9573170731707316,851.3780487804878,0.8387096774193549,1184.6290322580646
1028,blow air,y,Compositional,y,55,English,P004,1,343.0,Female,English,blow,air,19266,8.4,blow air,1,,0.9573170731707316,851.3780487804878,0.95,878.7333333333333
657,crack a smile,y,Collocation,y,55,English,P004,1,343.0,Female,English,crack,smile,7983,8.2,crack smile,1,,0.9573170731707316,851.3780487804878,1.0,830.655737704918
650,soften one's tone,y,Collocation,y,55,English,P004,1,343.0,Female,English,soften,tone,1969,6.3,soften tone,1,,0.9573170731707316,851.3780487804878,0.967741935483871,1106.1290322580646
847,inflate one's ego,y,Collocation,y,55,English,P004,1,343.0,Female,English,inflate,ego,2090,8.0,inflate ego,1,,0.9573170731707316,851.3780487804878,1.0,1020.9016393442624
667,shatter the record,y,Idiom,y,55,English,P004,1,343.0,Female,English,shatter,record,9028,6.3,shatter record,1,,0.9573170731707316,851.3780487804878,0.918032786885246,1066.72131147541
765,unearth treasure,y,Idiom,y,55,English,P004,1,343.0,Female,English,unearth,treasure,1465,7.1,unearth treasure,1,,0.9573170731707316,851.3780487804878,0.9032258064516128,1036.2096774193549
637,skip breakfast,y,Collocation,y,55,English,P004,1,343.0,Female,English,skip,breakfast,8437,8.2,skip breakfast,1,,0.9573170731707316,851.3780487804878,1.0,803.2459016393443
818,slash one's throat,y,Compositional,y,55,English,P004,1,343.0,Female,English,slash,throat,2869,8.1,slash throat,1,,0.9573170731707316,851.3780487804878,0.9666666666666668,1049.0833333333333
